Filename,Status,Quality_Score,Sharpness,Brightness,Contrast,FOV_Coverage,Uniformity,Glare_Ratio,Reason,Actionable_Guidance
IDRiD_001.jpg,PASS,0.925,215.3,102.2,20.3,69.4%,0.81,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_002.jpg,PASS,0.909,206.8,100.9,18.0,69.3%,0.86,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_003.jpg,REJECT,0.554,85.0,76.6,15.3,69.1%,0.76,0.00%,"Composite quality score (0.55 < 0.6) due to marginal sharpness, suboptimal illumination, low tissue contrast",Hold camera steady and ensure patient fixates on target. | Increase illumination slightly or check pupil alignment. | Clean lens and verify focus.
IDRiD_004.jpg,PASS,0.921,178.4,90.1,26.8,69.2%,0.72,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_005.jpg,PASS,0.894,208.3,103.2,18.3,69.2%,0.74,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_006.jpg,PASS,0.836,176.2,83.0,22.6,69.2%,0.73,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_007.jpg,REJECT,0.75,165.5,76.4,24.0,69.1%,0.55,0.00%,Severe uneven illumination (uniformity: 0.55 < 0.60),Pupil shadow detected; realign camera perpendicularly with pupil axis.
IDRiD_008.jpg,PASS,0.857,197.3,79.9,22.3,69.1%,0.82,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_009.jpg,PASS,0.647,152.0,67.8,22.3,69.1%,0.62,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_010.jpg,PASS,0.911,174.6,99.5,23.3,69.2%,0.82,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_011.jpg,PASS,0.803,169.8,86.1,16.7,69.2%,0.81,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_012.jpg,PASS,0.912,261.6,130.6,22.5,70.0%,0.87,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_013.jpg,PASS,0.947,211.7,126.4,26.4,69.9%,0.82,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_014.jpg,REJECT,0.457,78.5,62.0,19.5,69.0%,0.72,0.00%,Blur detected (78.5 < 80.0),Patient moved or camera out-of-focus; hold camera steady and refocus.
IDRiD_015.jpg,PASS,0.89,169.5,104.8,29.7,69.2%,0.62,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_016.jpg,PASS,0.732,109.6,89.8,17.1,69.2%,0.8,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_017.jpg,PASS,0.731,81.8,93.2,22.6,69.2%,0.74,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_018.jpg,REJECT,0.426,68.0,67.1,13.1,69.1%,0.78,0.00%,Blur detected (68.0 < 80.0),Patient moved or camera out-of-focus; hold camera steady and refocus.
IDRiD_019.jpg,REJECT,0.341,62.6,54.3,10.3,69.0%,0.85,0.00%,Blur detected (62.6 < 80.0); Image underexposed (54.3 < 60.0); Low tissue contrast (10.3 < 12.0),Patient moved or camera out-of-focus; hold camera steady and refocus. | Lighting too dark; increase camera flash intensity or check pupil dilation. | Possible media opacity (cataract) or dirty lens; verify lens cleanliness.
IDRiD_020.jpg,PASS,0.958,205.3,117.1,24.1,69.6%,0.78,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_021.jpg,PASS,0.929,213.9,116.5,19.9,69.4%,0.86,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_022.jpg,PASS,0.972,197.0,111.9,24.9,69.3%,0.85,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_023.jpg,PASS,0.925,222.7,95.1,21.9,69.3%,0.71,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_024.jpg,PASS,0.93,215.7,100.5,20.9,69.2%,0.81,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_025.jpg,REJECT,0.497,133.3,60.7,15.8,69.0%,0.67,0.00%,"Composite quality score (0.50 < 0.6) due to suboptimal illumination, low tissue contrast",Increase illumination slightly or check pupil alignment. | Clean lens and verify focus.
IDRiD_026.jpg,REJECT,0.475,124.9,60.5,13.9,69.0%,0.75,0.00%,"Composite quality score (0.47 < 0.6) due to marginal sharpness, suboptimal illumination, low tissue contrast",Hold camera steady and ensure patient fixates on target. | Increase illumination slightly or check pupil alignment. | Clean lens and verify focus.
IDRiD_027.jpg,PASS,0.834,163.9,90.3,18.1,69.1%,0.77,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_028.jpg,PASS,0.845,181.6,89.2,15.4,69.1%,0.87,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_029.jpg,PASS,0.903,219.4,92.0,18.2,69.1%,0.81,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_030.jpg,REJECT,0.352,71.4,39.8,10.1,69.0%,0.84,0.00%,Blur detected (71.4 < 80.0); Image underexposed (39.8 < 60.0); Low tissue contrast (10.1 < 12.0),Patient moved or camera out-of-focus; hold camera steady and refocus. | Lighting too dark; increase camera flash intensity or check pupil dilation. | Possible media opacity (cataract) or dirty lens; verify lens cleanliness.
IDRiD_031.jpg,PASS,0.743,138.4,90.0,12.4,69.2%,0.84,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_032.jpg,PASS,0.902,177.9,104.0,22.9,69.2%,0.75,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_033.jpg,PASS,0.934,186.1,109.8,24.4,69.4%,0.76,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_034.jpg,PASS,0.901,250.2,92.6,17.6,69.5%,0.83,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_035.jpg,PASS,0.673,171.5,70.9,17.7,69.2%,0.69,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_036.jpg,PASS,0.88,225.4,119.7,14.8,69.4%,0.89,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_037.jpg,PASS,0.845,141.3,88.7,24.5,69.1%,0.76,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_038.jpg,PASS,0.955,204.8,123.5,23.3,70.2%,0.91,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_039.jpg,PASS,0.95,203.2,97.3,25.8,69.3%,0.67,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_040.jpg,PASS,0.922,210.4,101.6,20.3,69.2%,0.8,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_041.jpg,PASS,0.66,113.9,83.4,14.3,69.2%,0.82,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_042.jpg,PASS,0.754,139.1,86.4,15.5,69.2%,0.91,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_043.jpg,PASS,0.652,156.5,73.9,13.9,69.1%,0.82,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_044.jpg,PASS,0.821,171.9,84.7,19.6,69.1%,0.79,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_045.jpg,PASS,0.917,227.4,118.0,18.1,69.4%,0.91,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_046.jpg,PASS,0.934,227.5,129.4,25.4,70.5%,0.82,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_047.jpg,PASS,0.937,216.5,114.9,22.4,69.4%,0.75,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_048.jpg,PASS,0.899,201.0,89.6,18.3,69.1%,0.79,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
IDRiD_049.jpg,PASS,0.944,202.3,105.7,23.3,69.4%,0.74,0.00%,Good clinical quality; suitable for DR grading.,Image accepted. Proceeding to diagnostic classification.
