image_name,split,relative_path,sha256,used_for_iqa_threshold_tuning,iqa_batch_evaluated
IDRiD_001.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_001.jpg,8cbb3482b62a7b4c8a7353a4f25ecf5df80b6f39714f35deb8575c14af78e06d,True,True
IDRiD_002.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_002.jpg,60083dd0e9945c5f54291e262189076daed3b8e08ee381c508ab43932a2d2ef3,True,True
IDRiD_003.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_003.jpg,34bf332d5e7dce3e220ca2ed6191306bfba44d0a111205550a125c42a4f32156,True,True
IDRiD_004.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_004.jpg,7d6569249def4f1df2dba4ecbf21c3de7c9223ce5e66455556fccca89f2d0638,True,True
IDRiD_005.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_005.jpg,d09ec72a5fcba65a6594d0cc3a4dc69ab7be19749c2d85ce78bb9dd7a38d86b5,True,True
IDRiD_006.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_006.jpg,d94cade5d968f57ea7e1aba98088e190205dd821fd32f4956db23f12c1a4713d,False,True
IDRiD_007.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_007.jpg,d19bc129f7032a353796c123b9abcc059128f109fbb9ec8b00929b11a3128191,False,True
IDRiD_008.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_008.jpg,ff153323008a0d0392df7b4841b699a4e5de53e6b3232212465eff0904ab38be,False,True
IDRiD_009.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_009.jpg,934e93b1a9b8159716ee65e94fa7c6f037eff907b358013068202ea6e7f7e8dc,False,True
IDRiD_010.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_010.jpg,5510120b5ad420b7214e46fd5d21f1b5be7f36ee2b7aeacbe005633438180a0a,False,True
IDRiD_011.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_011.jpg,89bb24f2c32111e7e68adf12ef4c7f35e7e74643e3f8d41ed2abf5753aab037b,False,True
IDRiD_012.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_012.jpg,2caa3a79c289594943e4304d592a49f8f155d09bfb88fdb5f20a39bd6977ac19,False,True
IDRiD_013.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_013.jpg,95818a3fa9f551aecb78c7d50a719385a7e7eda5fb94463a132f313967288b7a,False,True
IDRiD_014.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_014.jpg,a5f8d215a604eede3b4256d862657b8e663d1393531cc1c39e8e126b3580a616,False,True
IDRiD_015.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_015.jpg,2946b09242d8839570a25f8e6beb649d74b7a6bbbc8f96b5bb15dddbfee8ee6b,False,True
IDRiD_016.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_016.jpg,b4a8f2eb28d935a66eb10498916df788202615999bda9f09836269d56e5fd893,False,True
IDRiD_017.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_017.jpg,7b2ba119603d3676329d0c202ae8852bb0b9e1987732bb22ad4aacefe355ff09,False,True
IDRiD_018.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_018.jpg,6438e3af2b0723f50065c955edd9c5e2c04f8ab5be6449ae73ed290583160296,False,True
IDRiD_019.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_019.jpg,c830b1158a3222577e771dd504fc6c36b75b37601256474adb78464f0e6e98a1,False,True
IDRiD_020.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_020.jpg,f9c9e6b3372963fcf3c6e02d6be808e0e3071c9a192a0f3bf0aacc9174a96209,False,True
IDRiD_021.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_021.jpg,7c8af82fac4906b51dbe2d827e050b8b29a18cac21f569d2ac16af1cd65c9baf,False,True
IDRiD_022.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_022.jpg,b0dffed30ee657a0ceed19c07e9c5d716d6e611035173d994fb216ed7b4142b9,False,True
IDRiD_023.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_023.jpg,2bdde073e9abbcbf87f2038947c53ee3b23de66069ccb36788b590bc66b4847d,False,True
IDRiD_024.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_024.jpg,c85906bbad3dda834ec8f3be07ce096a8e9c1cefdc1a406f04ceeb442ba57715,False,True
IDRiD_025.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_025.jpg,3cf2e6b9b3dcb1916ce8ad097cb5aebc93c98c2ce5f6374b3f6b48c8fc484077,False,True
IDRiD_026.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_026.jpg,c30f33adad9437ae72152a5276c8f15f869d13f7fa388c8984cffb1f980ba40a,False,True
IDRiD_027.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_027.jpg,4f29b20dc2a8832f7752a5d02c4bd91adff04d4ba786f495fb6e96df0e535f9f,False,True
IDRiD_028.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_028.jpg,350754e96bf6b9540264c1b53088dc1f5826edb2a9d3d3221acf9ef5afd76a13,False,True
IDRiD_029.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_029.jpg,d64cdef50965d0deefcc3892883804829ebfd3bb0ac95f46d693ad3ae54af75d,False,True
IDRiD_030.jpg,training,B. Disease Grading/1. Original Images/a. Training Set/IDRiD_030.jpg,16d2c48c4fbc0cf5577ae4195a1c8497f295f4a0c586a8efc0c8e583dc5c15e0,False,True
